"date","SP500","PctReturn","ndays","dayofweek"
2000-01-04,1399.42,-0.0398736619456632,1,2
2000-01-05,1402.11,0.00191853706199929,1,3
2000-01-06,1403.45,0.000954789981830593,1,4
2000-01-07,1441.47,0.0263758524284237,1,5
2000-01-10,1457.6,0.0110661361141602,3,1
2000-01-11,1438.56,-0.0132354576799021,1,2
2000-01-12,1432.25,-0.00440565543724905,1,3
2000-01-13,1449.68,0.0120233430826114,1,4
2000-01-14,1465.15,0.0105586458724363,1,5
2000-01-18,1455.14,-0.00687906318292397,4,2
2000-01-19,1455.9,0.000522013874579292,1,3
2000-01-20,1445.57,-0.00714597010175928,1,4
2000-01-21,1441.36,-0.00292085252816787,1,5
2000-01-24,1401.53,-0.0284189421560722,3,1
2000-01-25,1410.03,0.00602824053388935,1,2
2000-01-26,1404.09,-0.00423049804499715,1,3
2000-01-27,1398.56,-0.00395406704038438,1,4
2000-01-28,1360.16,-0.0282319727090929,1,5
2000-01-31,1394.46,0.0245973351691694,3,1
2000-02-01,1409.28,0.0105160081743869,1,2
2000-02-02,1409.12,-0.000113546042920462,1,3
2000-02-03,1424.97,0.0111230411868321,1,4
2000-02-04,1424.37,-0.000421238863497642,1,5
2000-02-07,1424.24,-9.12767511092806e-05,3,1
2000-02-08,1441.72,0.0121244069583553,1,2
2000-02-09,1411.71,-0.0212579070772326,1,3
2000-02-10,1416.83,0.00361370100858952,1,4
2000-02-11,1387.12,-0.0214184785743123,1,5
2000-02-14,1389.94,0.00202886455530466,3,1
2000-02-15,1402.05,0.00863735244820078,1,2
2000-02-16,1387.67,-0.010362694300518,1,3
2000-02-17,1388.26,0.000424992436575222,1,4
2000-02-18,1346.09,-0.0313277715457362,1,5
2000-02-22,1352.17,0.00449647603481822,4,2
2000-02-23,1360.69,0.00626152907715937,1,3
2000-02-24,1353.43,-0.00536414886621398,1,4
2000-02-25,1333.36,-0.015052198956021,1,5
2000-02-28,1348.05,0.0108972219131338,3,1
2000-02-29,1366.42,0.0134438898728064,1,2
2000-03-01,1379.19,0.00925905785279764,1,3
2000-03-02,1381.76,0.00185994673459931,1,4
2000-03-03,1409.17,0.0194511662893761,1,5
2000-03-06,1391.28,-0.0128586625265943,3,1
2000-03-07,1355.62,-0.02630530679689,1,2
2000-03-08,1366.7,0.00810711933855283,1,3
2000-03-09,1401.69,0.0249627235694055,1,4
2000-03-10,1395.07,-0.00474528159877291,1,5
2000-03-13,1383.62,-0.00827539353290647,3,1
2000-03-14,1359.15,-0.0180038994960084,1,2
2000-03-15,1392.14,0.0236973292915942,1,3
2000-03-16,1458.47,0.0454791665238229,1,4
2000-03-17,1464.47,0.00409704534746359,1,5
2000-03-20,1456.63,-0.00538228651064438,3,1
2000-03-21,1493.87,0.0249285413054682,1,2
2000-03-22,1500.64,0.00451140846572143,1,3
2000-03-23,1527.35,0.0174878056764984,1,4
2000-03-24,1527.46,7.20149791157394e-05,1,5
2000-03-27,1523.86,-0.00236242174477979,3,1
2000-03-28,1507.73,-0.0106982019327067,1,2
2000-03-29,1508.52,0.00052369209556384,1,3
2000-03-30,1487.92,-0.013844830367224,1,4
2000-03-31,1498.58,0.00711340068598263,1,5
2000-04-03,1505.97,0.00490713626433468,3,1
2000-04-04,1494.73,-0.00751975273126251,1,2
2000-04-05,1487.37,-0.00494833161889787,1,3
2000-04-06,1501.34,0.00930502084804243,1,4
2000-04-07,1516.35,0.00989877007287235,1,5
2000-04-10,1504.46,-0.00790316791406875,3,1
2000-04-11,1500.59,-0.00257898559899781,1,2
2000-04-12,1467.17,-0.0227785464533761,1,3
2000-04-13,1440.51,-0.0185073342080236,1,4
2000-04-14,1356.56,-0.0618844724892375,1,5
2000-04-17,1401.44,0.0320242036762188,3,1
2000-04-18,1441.61,0.0278646790740907,1,2
2000-04-19,1427.47,-0.00990563724631682,1,3
2000-04-20,1434.54,0.00492840910675195,1,4
2000-04-24,1429.86,-0.00327304771096475,4,1
2000-04-25,1477.44,0.0322043534762834,1,2
2000-04-26,1460.99,-0.0112594884290789,1,3
2000-04-27,1464.92,0.00268274035442213,1,4
2000-04-28,1452.43,-0.00859938172579746,1,5
2000-05-01,1468.25,0.0107747318235995,3,1
2000-05-02,1446.29,-0.0151836768559556,1,2
2000-05-03,1415.1,-0.0220408451699527,1,3
2000-05-04,1409.57,-0.00392318224706824,1,4
2000-05-05,1432.63,0.0160962704955223,1,5
2000-05-08,1424.17,-0.00594030207067979,3,1
2000-05-09,1412.14,-0.00851898536972253,1,2
2000-05-10,1383.05,-0.0210332236723185,1,3
2000-05-11,1407.81,0.0175876005995127,1,4
2000-05-12,1420.96,0.0092543069474159,1,5
2000-05-15,1452.36,0.021619984025999,3,1
2000-05-16,1466.04,0.00933125972006225,1,2
2000-05-17,1447.8,-0.0125984251968504,1,3
2000-05-18,1437.21,-0.0073684430250276,1,4
2000-05-19,1406.95,-0.0215075162585735,1,5
2000-05-22,1400.72,-0.00444771260494604,3,1
2000-05-23,1373.86,-0.0195507548076224,1,2
2000-05-24,1399.05,0.0180050748722348,1,3
2000-05-25,1381.52,-0.012688922346401,1,4
2000-05-26,1378.02,-0.00253987605404856,1,5
2000-05-30,1422.45,0.0312348412949489,4,2
2000-05-31,1420.6,-0.00130226664789535,1,3
2000-06-01,1448.81,0.0194711521869673,1,4
2000-06-02,1477.26,0.0192586274589443,1,5
2000-06-05,1467.63,-0.00656159931317831,3,1
2000-06-06,1457.84,-0.00671541458596293,1,2
2000-06-07,1471.36,0.00918877772944757,1,3
2000-06-08,1461.67,-0.00662940335369805,1,4
2000-06-09,1456.95,-0.00323964446274754,1,5
2000-06-12,1446,-0.00757261410788385,3,1
2000-06-13,1469.44,0.0159516550522648,1,2
2000-06-14,1470.54,0.000748024535204693,1,3
2000-06-15,1478.73,0.00553853644681589,1,4
2000-06-16,1464.46,-0.00974420605547436,1,5
2000-06-19,1486,0.0144952893674293,3,1
2000-06-20,1475.95,-0.00680917375249836,1,2
2000-06-21,1479.13,0.00214991244853398,1,3
2000-06-22,1452.18,-0.0185583054442287,1,4
2000-06-23,1441.48,-0.00742292643671785,1,5
2000-06-26,1455.31,0.00950312991733715,3,1
2000-06-27,1450.55,-0.00328151390851745,1,2
2000-06-28,1454.82,0.00293507100534773,1,3
2000-06-29,1442.39,-0.00861764155325525,1,4
2000-06-30,1454.6,0.00839406022274152,1,5
2000-07-03,1469.54,0.0101664466431673,3,1
2000-07-05,1446.23,-0.0161177682664583,2,3
2000-07-06,1456.67,0.00716703165438984,1,4
2000-07-07,1478.9,0.0150314422881872,1,5
2000-07-10,1475.62,-0.00222279448638552,3,1
2000-07-11,1480.88,0.00355194208848807,1,2
2000-07-12,1492.92,0.00806473220266321,1,3
2000-07-13,1495.84,0.00195208043641021,1,4
2000-07-14,1509.98,0.00936436244188671,1,5
2000-07-17,1510.49,0.000337638779468908,3,1
2000-07-18,1493.74,-0.0112134641905552,1,2
2000-07-19,1481.96,-0.00794893249480416,1,3
2000-07-20,1495.57,0.00910020928475424,1,4
2000-07-21,1480.19,-0.0103905579689093,1,5
2000-07-24,1464.29,-0.0108585048043762,3,1
2000-07-25,1474.47,0.00690417573772275,1,2
2000-07-26,1452.42,-0.0151815590531664,1,3
2000-07-27,1449.62,-0.00193154067962651,1,4
2000-07-28,1419.89,-0.020938241694779,1,5
2000-07-31,1430.83,0.00764591181342286,3,1
2000-08-01,1438.1,0.00505528127390305,1,2
2000-08-02,1438.7,0.000417043163967565,1,3
2000-08-03,1452.56,0.00954177452222277,1,4
2000-08-04,1462.93,0.00708851414626819,1,5
2000-08-07,1479.32,0.0110794148662898,3,1
2000-08-08,1482.8,0.00234691124898841,1,2
2000-08-09,1472.87,-0.00674193920712627,1,3
2000-08-10,1460.25,-0.00864235576099975,1,4
2000-08-11,1471.84,0.0078744972279595,1,5
2000-08-14,1491.56,0.0132210571482207,3,1
2000-08-15,1484.43,-0.0048031904502064,1,2
2000-08-16,1479.85,-0.00309490826772994,1,3
2000-08-17,1496.07,0.0108417386886977,1,4
2000-08-18,1491.72,-0.00291609685463754,1,5
2000-08-21,1499.48,0.00517512737749086,3,1
2000-08-22,1498.13,-0.000901123400505903,1,2
2000-08-23,1505.97,0.0052059469976161,1,3
2000-08-24,1508.31,0.00155140521510825,1,4
2000-08-25,1506.45,-0.00123469082943337,1,5
2000-08-28,1514.09,0.00504593518218856,3,1
2000-08-29,1509.84,-0.00281486780056165,1,2
2000-08-30,1502.59,-0.004825002162932,1,3
2000-08-31,1517.68,0.00994280744293932,1,4
2000-09-01,1520.77,0.00203186543658799,1,5
2000-09-05,1507.08,-0.00908379117233329,4,2
2000-09-06,1492.25,-0.00993801306751545,1,3
2000-09-07,1502.51,0.00682857352030934,1,4
2000-09-08,1494.5,-0.00535965205754432,1,5
2000-09-11,1489.26,-0.00351852597934545,3,1
2000-09-12,1481.99,-0.00490556616441405,1,2
2000-09-13,1484.91,0.00196644914506608,1,3
2000-09-14,1480.87,-0.00272812603402067,1,4
2000-09-15,1465.81,-0.0102741828749974,1,5
2000-09-18,1444.51,-0.0147454846280053,3,1
2000-09-19,1459.9,0.0105418179327352,1,2
2000-09-20,1451.34,-0.00589799771245895,1,3
2000-09-21,1449.05,-0.00158034574376313,1,4
2000-09-22,1448.72,-0.000227787288088745,1,5
2000-09-25,1439.03,-0.00673370256353242,3,1
2000-09-26,1427.21,-0.00828189264368939,1,2
2000-09-27,1426.57,-0.000448628528568595,1,3
2000-09-28,1458.29,0.0217515034732461,1,4
2000-09-29,1436.51,-0.0151617461764972,1,5
2000-10-02,1436.23,-0.000194954847064866,3,1
2000-10-03,1426.46,-0.0068491230037996,1,2
2000-10-04,1434.32,0.00547994868648551,1,3
2000-10-05,1436.28,0.00136463642186763,1,4
2000-10-06,1408.99,-0.0193684838075501,1,5
2000-10-09,1402.03,-0.00496423043729452,3,1
2000-10-10,1387.02,-0.0108217617626278,1,2
2000-10-11,1364.59,-0.0164371716046579,1,3
2000-10-12,1329.78,-0.0261772624043074,1,4
2000-10-13,1374.17,0.0323031357110111,1,5
2000-10-16,1374.62,0.00032736319855656,3,1
2000-10-17,1349.97,-0.0182596650295931,1,2
2000-10-18,1342.13,-0.00584146096130771,1,3
2000-10-19,1388.76,0.0335767159192372,1,4
2000-10-20,1396.93,0.0058485392968868,1,5
2000-10-23,1395.78,-0.000823912077834681,3,1
2000-10-24,1398.13,0.0016808165192079,1,2
2000-10-25,1364.9,-0.0243461059418273,1,3
2000-10-26,1364.44,-0.000337134648647091,1,4
2000-10-27,1379.58,0.0109743545136925,1,5
2000-10-30,1398.66,0.0136416284157695,3,1
2000-10-31,1429.4,0.0215055267944592,1,2
2000-11-01,1421.22,-0.00575561841235,1,3
2000-11-02,1428.32,0.00497087487397776,1,4
2000-11-03,1426.69,-0.00114250467866171,1,5
2000-11-06,1432.19,0.00384027258953072,3,1
2000-11-07,1431.87,-0.000223483975500684,1,2
2000-11-08,1409.28,-0.016029461852861,1,3
2000-11-09,1400.14,-0.00652791863670767,1,4
2000-11-10,1365.98,-0.0250076867889721,1,5
2000-11-13,1351.26,-0.0108935364030609,3,1
2000-11-14,1382.95,0.0229147836147367,1,2
2000-11-15,1389.81,0.00493592649354941,1,3
2000-11-16,1372.32,-0.0127448408534453,1,4
2000-11-17,1367.72,-0.00336326148626905,1,5
2000-11-20,1342.62,-0.0186947907822021,3,1
2000-11-21,1347.35,0.00351059487141427,1,2
2000-11-22,1322.36,-0.0188980307934299,1,3
2000-11-24,1341.77,0.0144659665963616,2,5
2000-11-27,1348.97,0.00533740557610625,3,1
2000-11-28,1336.09,-0.00964006915701795,1,2
2000-11-29,1341.93,0.0043519408612969,1,3
2000-11-30,1314.95,-0.0205178904140842,1,4
2000-12-01,1315.23,0.00021289052104953,1,5
2000-12-04,1324.97,0.00735110983644913,3,1
2000-12-05,1376.54,0.0374634954305723,1,2
2000-12-06,1351.46,-0.0185577079602799,1,3
